TS,X,Y,Z
80566528,0.4606018,0.38383484,9.902939
90606592,0.38383484,0.4606018,9.672637999999999
100717568,-0.07676697,0.5373688,9.595871000000001
110757888,0,0.5373688,9.826172
120828672,0.30706787,-0.07676697,10.363541
130899456,0.15353394,-0.07676697,10.286774
141000960,0,-0.30706787,10.363541
151071744,-0.07676697,-0.30706787,10.286774
161142528,-0.30706787,0,9.826172
171213312,0,-0.07676697,10.13324
181284096,0.15353394,0.07676697,10.363541
191354880,0.30706787,0.2303009,10.440308
201425664,0.5373688,0.38383484,10.363541
211496448,0.61413574,0.5373688,10.13324
221567232,0.6909027,0.6909027,9.749404999999999
231638016,0.7676697,0.7676697,9.519104
241678336,0.84443665,0.9979706,9.212035999999999
251779584,0.6909027,0.84443665,9.212035999999999
271890688,0.5373688,0.61413574,9.519104
261850368,0.6909027,0.7676697,9.288803
281961472,0.5373688,0.2303009,10.286774
292032256,0.61413574,0.15353394,10.6706085
302152192,0.4606018,0.07676697,10.824142
312192512,0.7676697,0.15353394,10.6706085
322263296,0.5373688,0.15353394,10.13324
332334080,0.5373688,0,9.826172
342435328,0.84443665,0,9.672637999999999
352475648,0.7676697,0,9.519104
362576896,0.84443665,0.15353394,9.212035999999999
372647680,0.9212036,0.2303009,9.36557
382688000,1.1515045,0.2303009,9.519104
392789248,1.3818054,0.07676697,9.826172
402860032,1.3050385,-0.07676697,9.826172
412930816,1.0747375,0.07676697,9.902939
423001600,0.84443665,0.07676697,10.286774
433072640,0.6909027,0.30706787,10.593842
443143424,0.7676697,0.6909027,10.7473755
453214208,0.9979706,0.84443665,10.824142
463284992,0.6909027,0.9979706,11.054443
473355776,0.9979706,1.1515045,11.284744
483426560,0.7676697,1.0747375,11.515045
493466880,0.7676697,0.9212036,11.438278
503568128,0.84443665,0.84443665,10.977676
513608448,0.84443665,0.5373688,10.7473755
523709696,0.84443665,0.4606018,10.286774
533750016,0.84443665,0.38383484,10.056473
543851264,0.7676697,0.4606018,10.056473
553891584,0.61413574,0.7676697,10.13324
563992832,0.38383484,1.0747375,10.363541
574063616,0.15353394,1.1515045,10.363541
584103936,0.38383484,1.3050385,10.286774
594174720,0.38383484,1.3050385,10.286774
604245504,0.6909027,1.2282715,10.6706085
614347008,0.7676697,1.1515045,10.824142
624417792,0.7676697,0.84443665,10.824142
634458112,0.7676697,0.6909027,10.977676
644528896,0.4606018,0.38383484,10.824142
654599680,0.5373688,0.38383484,10.6706085
664670464,0.5373688,0.30706787,10.517075
674741248,0.38383484,0.2303009,10.517075
684812032,0.5373688,0.38383484,10.210007
694882816,0.5373688,0.5373688,10.13324
705020928,0.2303009,0.5373688,10.440308
715091968,0.2303009,0.4606018,10.517075
725162752,0.30706787,0.4606018,10.824142
735233536,0.30706787,0.30706787,10.824142
745304320,0.4606018,0.2303009,10.593842
755375104,0.2303009,0.2303009,10.6706085
765445888,0.2303009,0.2303009,10.363541
775516672,0.2303009,0.38383484,10.210007
785587456,0.30706787,0.15353394,10.056473
795658240,0.30706787,0.2303009,9.902939
805729024,-0.07676697,0.38383484,10.13324
815830272,-0.07676697,0.4606018,9.979706
825901056,0.15353394,0.6909027,10.13324
835972096,0.07676697,0.6909027,10.210007
846012160,0.07676697,0.6909027,10.286774
856113664,0,0.61413574,10.593842
866184448,0.07676697,0.61413574,10.286774
876255232,0.07676697,0.38383484,10.286774
886295552,-0.07676697,0.6909027,10.286774
896396800,-0.07676697,0.61413574,10.13324
906467584,0.07676697,0.4606018,9.902939
916538368,0.07676697,0.61413574,9.902939
926578688,0.15353394,0.7676697,9.595871000000001
936649472,0,0.7676697,9.672637999999999
946750720,0,0.9979706,9.826172
956821504,-0.15353394,1.0747375,9.826172
966861824,-0.2303009,0.9979706,10.056473
976932608,-0.38383484,0.84443665,10.286774
987003392,-0.2303009,0.6909027,10.593842
997104896,-0.07676697,0.61413574,10.900909
1007144960,0,0.6909027,10.7473755
1017246464,0.2303009,0.6909027,10.6706085
1027317248,0.38383484,0.7676697,10.363541
1037388032,0.2303009,0.7676697,10.286774
1047458816,0.15353394,0.7676697,9.979706
1057529600,0.07676697,0.84443665,9.902939
1067600384,0,0.9212036,9.902939
1077640704,-0.2303009,0.84443665,10.056473
1087711488,0,0.9212036,10.517075
1097782272,-0.15353394,0.61413574,10.517075
1107853056,0,0.38383484,10.7473755
1117954304,0,0.2303009,10.7473755
1127994624,0.07676697,0,10.593842
1138065408,0.2303009,0.2303009,10.440308
1148136192,0.15353394,0.30706787,10.363541
1158237696,0.07676697,0.38383484,10.210007
1168308480,0.2303009,0.38383484,9.826172
1178379264,-0.07676697,0.5373688,9.672637999999999
1188419584,-0.07676697,0.7676697,9.672637999999999
1198490368,-0.2303009,0.9212036,9.826172
1208591616,-0.15353394,0.84443665,10.286774
1218662400,-0.2303009,0.84443665,10.363541
1228733184,-0.07676697,0.61413574,10.6706085
1238803968,0.15353394,0.5373688,10.7473755
1248874752,0.30706787,0.30706787,10.517075
1258945536,0.38383484,0.38383484,10.286774
1269016320,0.38383484,0.38383484,10.13324
1279087104,0.2303009,0.4606018,10.056473
1289157888,0.07676697,0.5373688,9.672637999999999
1299228928,0,0.84443665,9.595871000000001
1309299712,0,0.9979706,9.442337
1319370496,-0.15353394,0.9979706,9.595871000000001
1329441280,-0.07676697,0.9979706,9.749404999999999
1339512064,-0.15353394,0.84443665,10.286774
1349582848,-0.07676697,0.6909027,10.286774
1359653632,0.30706787,0.84443665,10.056473
1369724416,0.5373688,0.30706787,10.363541
1379795200,0.38383484,-0.07676697,11.13121
1389865984,0.38383484,0,10.977676
1399936768,0.38383484,0.07676697,10.440308
1410007552,0.4606018,0.2303009,9.749404999999999
1420078336,0.6909027,1.6121063,7.7534637
1430149120,0.2303009,2.379776,6.601959
1440219904,0.4606018,1.4585724,4.529251
1450290944,0.7676697,1.3050385,3.6848145
1460361728,0.84443665,0.07676697,2.7636108
1470432512,0.61413574,-0.07676697,2.303009
1480503296,0.2303009,0.15353394,1.3818054
1490574080,-0.15353394,0.30706787,0.6909027
1500644864,-0.30706787,0.2303009,0.5373688
1510728448,-0.30706787,0.38383484,0.4606018
1520799232,-0.38383484,0.2303009,0.4606018
1530870016,-0.30706787,0.2303009,0.5373688
1540940800,-0.38383484,0.38383484,0.38383484
1551011584,-0.30706787,0.30706787,0.4606018
1561082368,-0.30706787,0.30706787,0.4606018
1571153152,-0.38383484,0.30706787,0.38383484
1581223936,-0.30706787,0.2303009,0.5373688
