TS,X,Y,Z
80566528,0.07676697,0.4606018,9.902939
90637312,0.2303009,0.5373688,9.902939
100717824,-0.15353394,0.6909027,10.210007
110788608,-0.38383484,0.5373688,10.900909
120859392,0,0.5373688,9.826172
130899712,0,0.4606018,9.826172
140970496,-0.15353394,0.61413574,10.593842
151041280,-0.15353394,0.5373688,10.6706085
161112064,0.07676697,0.5373688,10.056473
171182848,-0.07676697,0.4606018,10.440308
181253632,-0.30706787,0.5373688,10.6706085
191324416,0.07676697,0.38383484,9.979706
201395200,-0.2303009,0.61413574,10.363541
211465984,-0.15353394,0.5373688,10.517075
221536768,-0.15353394,0.4606018,9.979706
231607552,0,0.38383484,9.902939
241678336,-0.15353394,0.5373688,10.440308
251779840,0,0.4606018,10.056473
261819904,0,0.4606018,10.210007
271921408,-0.2303009,0.61413574,10.440308
281992192,0.07676697,0.5373688,9.902939
292062976,0,0.61413574,10.210007
302121728,-0.15353394,0.4606018,10.363541
312162048,0,0.38383484,9.826172
322232832,-0.07676697,0.5373688,10.286774
332334080,-0.07676697,0.5373688,10.210007
342374400,-0.15353394,0.61413574,10.056473
352475648,-0.07676697,0.4606018,10.363541
362546432,0,0.5373688,10.056473
372586752,-0.15353394,0.5373688,10.210007
382688000,-0.2303009,0.5373688,10.363541
392728320,0.07676697,0.5373688,10.13324
402829824,-0.07676697,0.5373688,10.210007
412900608,-0.07676697,0.4606018,10.210007
422971392,0,0.4606018,10.210007
433042176,-0.2303009,0.5373688,10.363541
443112960,-0.07676697,0.5373688,10.13324
463254528,-0.07676697,0.61413574,10.286774
453153280,-0.15353394,0.4606018,10.13324
473294848,-0.07676697,0.5373688,10.13324
483396096,-0.07676697,0.61413574,10.210007
493466880,-0.07676697,0.5373688,10.13324
503537664,-0.2303009,0.5373688,10.210007
513608448,-0.07676697,0.5373688,10.13324
523679232,0,0.30706787,10.210007
533750016,-0.15353394,0.61413574,10.13324
543790336,-0.07676697,0.5373688,10.210007
553861120,0,0.5373688,10.210007
563962624,-0.15353394,0.5373688,10.210007
574033408,0,0.5373688,10.286774
584104192,0,0.4606018,10.286774
594174976,-0.07676697,0.4606018,10.210007
604215296,0,0.5373688,10.286774
624387328,-0.07676697,0.4606018,10.286774
614316544,-0.15353394,0.61413574,10.286774
634458112,0,0.4606018,10.210007
644528896,-0.07676697,0.4606018,10.210007
654599680,-0.07676697,0.61413574,10.286774
664670464,-0.15353394,0.4606018,10.440308
674741248,-0.07676697,0.5373688,10.286774
684812032,-0.07676697,0.5373688,10.210007
694883072,-0.07676697,0.4606018,10.286774
704960000,0,0.4606018,10.210007
715030784,-0.07676697,0.5373688,10.13324
725101568,0,0.5373688,10.210007
735172608,-0.15353394,0.5373688,10.210007
745243392,0,0.4606018,10.286774
755283456,0.07676697,0.5373688,10.286774
765384960,-0.15353394,0.61413574,10.286774
775425280,-0.07676697,0.4606018,10.13324
785526528,-0.07676697,0.5373688,10.210007
795597312,-0.07676697,0.6909027,10.286774
805637632,0,0.5373688,10.286774
815738880,-0.07676697,0.4606018,10.210007
825779200,-0.15353394,0.61413574,10.13324
835849984,-0.07676697,0.4606018,10.210007
845951232,-0.07676697,0.4606018,10.210007
855991552,-0.07676697,0.5373688,10.210007
866062336,-0.2303009,0.4606018,10.210007
876133120,-0.2303009,0.38383484,10.056473
886234624,-0.07676697,0.5373688,10.286774
896305408,-0.07676697,0.61413574,10.13324
906376192,0,0.61413574,10.210007
916446976,-0.07676697,0.5373688,10.210007
926487296,-0.07676697,0.38383484,10.210007
936588544,-0.07676697,0.4606018,10.056473
946659328,-0.07676697,0.4606018,10.210007
956730112,-0.07676697,0.4606018,10.13324
966770432,-0.15353394,0.61413574,10.13324
976841216,-0.07676697,0.38383484,10.363541
986942464,-0.15353394,0.4606018,10.286774
997013248,-0.07676697,0.5373688,10.286774
1007084032,-0.15353394,0.5373688,10.13324
1017124352,-0.07676697,0.5373688,10.210007
1027225600,0,0.4606018,10.13324
1037296640,-0.2303009,0.61413574,10.210007
1047367424,-0.07676697,0.4606018,10.210007
1057407488,-0.07676697,0.4606018,10.210007
1067508992,-0.07676697,0.5373688,10.210007
1077579776,-0.07676697,0.5373688,10.210007
1087650560,0,0.5373688,10.210007
1097721344,0.07676697,0.6909027,10.286774
1107792128,-0.15353394,0.61413574,10.210007
1117862912,-0.07676697,0.61413574,10.286774
1127933696,-0.07676697,0.5373688,10.210007
1138004480,-0.2303009,0.5373688,10.056473
1148044800,-0.15353394,0.61413574,10.13324
1158115584,-0.07676697,0.5373688,10.210007
1168186368,0,0.4606018,10.210007
1178257152,-0.15353394,0.4606018,10.286774
1188327936,0.07676697,0.4606018,10.13324
1198398720,0,0.5373688,10.13324
1208469504,-0.07676697,0.61413574,10.13324
1218540288,-0.15353394,0.5373688,10.286774
1228611328,0.07676697,0.4606018,10.286774
1238682112,-0.07676697,0.5373688,10.286774
1248752896,-0.15353394,0.5373688,10.210007
1258823680,-0.07676697,0.5373688,10.286774
1268924928,-0.07676697,0.5373688,10.210007
1278965248,-0.07676697,0.5373688,10.286774
1289066496,-0.07676697,0.5373688,10.210007
1299106816,-0.15353394,0.4606018,10.286774
1309208064,-0.15353394,0.4606018,10.210007
1319248384,-0.15353394,0.38383484,10.13324
1329349632,-0.15353394,0.5373688,10.210007
1339389952,-0.07676697,0.38383484,10.210007
1349491456,-0.2303009,0.5373688,10.286774
1359562240,-0.07676697,0.5373688,10.13324
1369633024,-0.07676697,0.5373688,10.210007
1379703808,-0.07676697,0.4606018,10.363541
1389774592,-0.07676697,0.4606018,10.363541
1399845376,-0.07676697,0.61413574,10.13324
1409916160,-0.15353394,0.30706787,10.210007
1419986944,-0.07676697,0.4606018,10.210007
1430057728,0,0.4606018,10.210007
1440128512,0.07676697,0.38383484,10.286774
1450199296,-0.15353394,0.5373688,10.210007
1460270080,-0.15353394,0.5373688,10.210007
1470340864,-0.15353394,0.61413574,10.286774
1480411648,-0.2303009,0.61413574,10.210007
1490482432,-0.07676697,0.38383484,10.210007
1500553472,-0.07676697,0.38383484,10.286774
1510789376,-0.07676697,0.4606018,10.13324
1520860160,-0.15353394,0.5373688,10.056473
1530930944,-0.07676697,0.5373688,10.210007
1540971264,-0.15353394,0.4606018,10.286774
1551072768,-0.15353394,0.61413574,10.13324
1561112832,0.07676697,0.4606018,10.363541
1571214336,-0.07676697,0.4606018,10.210007
1581254656,0,0.61413574,10.13324
1591325440,-0.07676697,0.5373688,10.286774
1601426688,-0.07676697,0.61413574,10.286774
1611497472,-0.15353394,0.61413574,10.210007
1621568256,-0.07676697,0.4606018,10.210007
1631608576,-0.15353394,0.61413574,10.13324
1641709824,-0.15353394,0.5373688,10.13324
1651780608,-0.15353394,0.5373688,10.13324
1661851392,-0.07676697,0.4606018,10.13324
1671891712,-0.07676697,0.5373688,10.210007
1681992960,0,0.38383484,10.286774
1692033280,0,0.4606018,10.210007
1702134784,-0.15353394,0.5373688,10.286774
1712205568,-0.07676697,0.5373688,10.210007
1722276352,-0.07676697,0.38383484,10.286774
1732347136,-0.07676697,0.4606018,10.13324
1752488704,0,0.4606018,10.210007
1742417920,-0.07676697,0.4606018,10.286774
1762559488,-0.15353394,0.61413574,10.210007
1772599808,-0.07676697,0.4606018,10.286774
