TS,X,Y,Z
80596992,1.7656403,7.446396,6.2181244
90637312,1.9191742,7.59993,6.0645905
100708096,1.9959412,7.523163,6.2181244
110809344,2.149475,7.59993,6.2181244
120880128,2.53331,7.59993,6.3716583
130950912,2.7636108,7.523163,6.4484253
141021696,2.9171448,7.369629,6.83226
151092480,2.53331,7.446396,7.139328
161163264,2.456543,7.59993,7.216095
171234048,2.0727081,7.523163,7.216095
181304832,1.8424072,7.523163,7.139328
191345152,1.9191742,7.523163,6.909027
201415936,1.9959412,7.369629,6.83226
211517440,2.149475,7.446396,6.601959
221557504,2.379776,7.446396,6.601959
231628544,2.456543,7.369629,6.5251923
241729792,2.303009,7.446396,6.2948914
251770112,2.379776,7.523163,6.601959
261840896,2.379776,7.369629,6.601959
271911680,2.226242,7.446396,6.3716583
281982464,2.149475,7.59993,6.3716583
292053248,2.226242,7.523163,6.5251923
302154496,1.9959412,7.7534637,6.3716583
312194816,2.149475,7.676697,6.5251923
322296064,2.379776,7.59993,6.678726
332336384,2.8403778,7.676697,6.601959
342407168,3.3777466,7.369629,6.1413574
352477952,3.3777466,7.369629,5.9110565
362548736,3.1474457,7.369629,5.6039886
372619520,2.9171448,7.369629,5.9110565
382690560,2.226242,7.523163,5.220154
392761344,2.456543,7.8302307,5.220154
402832128,2.53331,7.523163,5.4504547
412902912,2.6868439,7.523163,5.7575226
423004160,3.2242126,7.523163,6.5251923
433044480,3.2242126,7.292862,6.5251923
443145728,3.3777466,7.062561,6.2181244
453186048,3.1474457,7.062561,5.9878235
463256832,3.1474457,7.216095,5.3736877
473327616,2.8403778,7.369629,5.06662
483398400,2.6868439,7.369629,4.529251
493469184,2.610077,7.676697,4.375717
503539968,2.456543,7.8302307,3.9918823
513610752,2.456543,7.7534637,4.1454163
523681536,2.8403778,7.523163,4.913086
534881536,3.6848145,7.292862,5.8342896
543823360,3.8383484,7.292862,6.1413574
553924608,4.222183,7.523163,6.2948914
563964928,4.1454163,7.216095,6.1413574
574066176,4.0686493,7.139328,5.9110565
584136960,3.8383484,7.216095,5.6807556
604278528,3.3777466,7.216095,5.3736877
594207744,3.7615814,7.139328,5.5272217
614349312,3.0706787,7.446396,5.3736877
624420096,3.3009796,7.9837646,4.682785
644531200,3.9918823,8.137299000000001,4.1454163
634490880,3.4545135,8.214066000000001,4.222183
654601984,4.452484,8.214066000000001,3.9918823
664672768,4.913086,8.060532,4.0686493
674743552,4.836319,7.9837646,4.606018
684814592,4.836319,7.9837646,4.759552
694915840,4.529251,7.9069977,5.296921
704956160,4.29895,7.7534637,5.9878235
715026944,4.222183,7.59993,6.3716583
725128192,4.222183,7.59993,6.3716583
735198976,4.375717,7.446396,6.3716583
745269760,4.836319,7.446396,6.0645905
755340544,4.989853,7.446396,5.6039886
765411328,4.913086,7.523163,5.06662
775482112,4.682785,7.59993,4.529251
785522432,4.29895,7.446396,4.0686493
795623680,4.222183,7.59993,4.1454163
805799168,4.452484,7.446396,4.682785
815869952,4.606018,7.523163,5.296921
825940736,4.222183,7.446396,6.1413574
836011520,4.989853,7.676697,4.989853
846082304,5.06662,7.446396,5.9110565
856153088,4.682785,7.292862,6.4484253
866223872,4.29895,7.523163,5.143387
876264192,3.9918823,7.59993,4.759552
886334976,3.7615814,7.523163,5.143387
896436224,3.9151154,7.59993,4.989853
906476544,4.29895,7.59993,4.913086
916577792,4.913086,7.7534637,4.989853
926648576,5.3736877,7.7534637,4.989853
936719360,5.6807556,7.9069977,5.143387
946759680,6.755493,8.137299000000001,5.220154
956861184,6.5251923,8.2908325,5.296921
966901248,5.9110565,8.521133000000001,5.220154
977002752,5.143387,8.751434,5.4504547
987073536,3.9151154,9.135268999999999,5.9878235
997144320,4.222183,9.442337,6.1413574
1007215104,4.682785,9.595871000000001,6.2181244
1017285888,5.4504547,9.595871000000001,6.1413574
1027326208,7.216095,10.056473,5.7575226
1037427456,8.367599500000001,10.517075,5.220154
1047498240,9.058502000000001,10.824142,4.989853
1057569024,9.749404999999999,11.515045,4.836319
1067639808,9.442337,12.66655,5.3736877
1077680128,9.288803,12.896851,5.9110565
1087781376,9.36557,12.973618,6.5251923
1097852160,9.749404999999999,12.973618,7.139328
1107922944,11.13121,12.052414,7.216095
1117963264,11.745346,11.438278,6.2948914
1128034048,12.052414,10.7473755,5.06662
1138135552,12.436249,10.210007,3.5312805
1148206336,11.975647,9.672637999999999,-0.2303009
1158277120,11.361511,9.519104,-1.6888733
1168347904,10.593842,9.36557,-2.610077
1178418688,10.056473,9.135268999999999,-3.2242126
1188489472,8.904968,8.674666999999999,-3.0706787
1198560256,8.444366,8.214066000000001,-3.0706787
1208667904,7.9069977,7.523163,-2.53331
1218738688,7.139328,6.909027,-1.8424072
1228840192,6.2181244,5.296921,-0.6909027
1238910976,5.7575226,4.759552,-0.9212036
1248981760,5.220154,4.0686493,-0.84443665
1259022080,4.913086,3.4545135,-0.9212036
1269092864,3.6848145,2.303009,-0.6909027
1279194112,2.7636108,1.9191742,-0.61413574
1289264896,1.9959412,1.3050385,-0.61413574
1299335680,1.2282715,1.1515045,-0.5373688
1309376000,-0.38383484,0.4606018,-0.9212036
1319477248,-0.84443665,0.15353394,-0.61413574
1329517568,-1.1515045,-0.4606018,-0.2303009
1339618816,-1.6888733,-0.9212036,0.38383484
1349659136,-2.8403778,-1.8424072,1.1515045
1359760384,-3.4545135,-2.0727081,1.3050385
1369800704,-3.9151154,-2.149475,0.6909027
1379902208,-4.452484,-2.226242,0
1389942272,-5.7575226,-2.226242,-1.2282715
1400043776,-6.678726,-2.226242,-1.8424072
