TS,X,Y,Z
80535808,-1.0747375,10.210007,1.4585724
90637056,-0.84443665,10.210007,1.4585724
100707840,-0.6909027,10.13324,1.4585724
110748160,-0.84443665,10.13324,1.3050385
120818944,-0.84443665,10.056473,1.5353394
130889728,-0.84443665,9.826172,1.4585724
140960512,-0.9979706,9.902939,1.5353394
151031296,-0.9979706,9.826172,1.6121063
161102080,-0.9212036,9.826172,1.5353394
171172864,-1.0747375,9.902939,1.3050385
181243904,-0.9212036,10.056473,1.3050385
191314688,-0.7676697,10.13324,1.4585724
201404160,-0.7676697,10.13324,1.4585724
211474944,-0.7676697,10.13324,1.4585724
221545984,-0.84443665,10.056473,1.4585724
231616768,-0.7676697,10.286774,1.3818054
241687552,-0.84443665,10.056473,1.3818054
251788800,-0.9212036,9.902939,1.4585724
261859584,-0.9979706,9.826172,1.3818054
271930368,-0.9212036,9.749404999999999,1.3818054
282001152,-0.9212036,9.672637999999999,1.3818054
292071936,-0.9212036,9.979706,1.3050385
302142720,-0.9979706,9.749404999999999,1.3050385
312213504,-0.7676697,9.902939,1.3050385
322284288,-0.84443665,9.902939,1.3050385
332324608,-0.84443665,9.826172,1.3050385
342426112,-0.7676697,10.056473,1.3818054
352496896,-0.84443665,9.826172,1.3050385
362536960,-0.7676697,9.749404999999999,1.2282715
372608000,-0.84443665,9.749404999999999,1.1515045
382678784,-0.84443665,9.826172,1.1515045
392780032,-0.9979706,9.672637999999999,1.2282715
402850816,-1.0747375,9.595871000000001,1.0747375
412921600,-0.9979706,9.826172,1.2282715
422992384,-1.1515045,9.979706,1.3818054
433032704,-1.0747375,9.979706,1.3818054
443103488,-0.9979706,10.286774,1.5353394
453204736,-0.9979706,10.210007,1.5353394
463245056,-0.9979706,10.286774,1.6888733
473346304,-1.0747375,10.13324,1.8424072
483386624,-1.2282715,9.979706,1.9191742
493488128,-1.3050385,9.902939,1.7656403
503558912,-1.3818054,9.826172,1.7656403
513629696,-1.2282715,9.749404999999999,1.6121063
523700480,-1.3818054,9.595871000000001,1.5353394
533771264,-1.2282715,9.595871000000001,1.4585724
543842048,-1.1515045,9.749404999999999,1.5353394
553912832,-1.0747375,10.056473,1.4585724
563983616,-0.9979706,10.210007,1.6121063
574054400,-0.9979706,10.056473,1.6121063
584125184,-1.1515045,10.210007,1.7656403
594195968,-1.2282715,10.210007,1.8424072
604273152,-1.4585724,10.056473,1.8424072
614343936,-1.3818054,10.056473,1.6121063
