TS,X,Y,Z
80535808,-0.30706787,0.5373688,10.210007
90637056,-0.38383484,0.5373688,10.286774
100718080,-0.5373688,0.61413574,10.286774
110788864,-0.4606018,0.5373688,10.210007
120859648,-0.4606018,0.4606018,10.210007
130930432,-0.4606018,0.61413574,10.286774
141001216,-0.38383484,0.5373688,10.286774
151072000,-0.4606018,0.5373688,10.363541
161142784,-0.5373688,0.6909027,10.286774
171213568,-0.4606018,0.61413574,10.286774
181284352,-0.5373688,0.5373688,10.13324
191324672,-0.61413574,0.5373688,10.210007
201425920,-0.5373688,0.5373688,10.286774
211496704,-0.38383484,0.4606018,10.210007
221567488,-0.4606018,0.5373688,10.210007
231638272,-0.38383484,0.5373688,10.210007
241709312,-0.61413574,0.5373688,10.210007
251780096,-0.5373688,0.61413574,10.286774
261820160,-0.4606018,0.61413574,10.210007
271891200,-0.5373688,0.5373688,10.210007
281992448,-0.5373688,0.5373688,10.363541
292063232,-0.6909027,0.5373688,10.286774
302121984,-0.5373688,0.61413574,10.210007
312162304,-0.5373688,0.4606018,10.210007
322263552,-0.5373688,0.61413574,10.286774
332334336,-0.4606018,0.5373688,10.210007
342405120,-0.61413574,0.4606018,10.363541
352475904,-0.5373688,0.5373688,10.13324
362546688,-0.4606018,0.4606018,10.286774
372617472,-0.4606018,0.4606018,10.286774
382657792,-0.5373688,0.5373688,10.210007
392759040,-0.38383484,0.4606018,10.210007
402829824,-0.4606018,0.7676697,10.210007
412900608,-0.4606018,0.5373688,10.210007
422940928,-0.4606018,0.6909027,10.210007
433042432,-0.5373688,0.5373688,10.210007
443113216,-0.5373688,0.4606018,10.13324
453153536,-0.4606018,0.61413574,10.286774
463224320,-0.5373688,0.61413574,10.210007
473295104,-0.5373688,0.61413574,10.286774
483365888,-0.61413574,0.38383484,10.286774
493467136,-0.38383484,0.5373688,10.286774
503507456,-0.4606018,0.5373688,10.286774
513608704,-0.4606018,0.4606018,10.210007
523679488,-0.38383484,0.5373688,10.056473
533750272,-0.5373688,0.5373688,10.286774
543821056,-0.4606018,0.5373688,10.210007
553891840,-0.38383484,0.5373688,10.210007
563962624,-0.4606018,0.4606018,10.286774
574033664,-0.4606018,0.4606018,10.210007
584104448,-0.4606018,0.4606018,10.286774
594144512,-0.5373688,0.38383484,10.210007
604215552,-0.61413574,0.4606018,10.210007
614316800,-0.5373688,0.5373688,10.286774
624357120,-0.5373688,0.5373688,10.210007
634458368,-0.61413574,0.4606018,10.056473
644529152,-0.5373688,0.4606018,10.286774
654599936,-0.5373688,0.5373688,10.210007
664670720,-0.38383484,0.61413574,10.056473
674741504,-0.5373688,0.5373688,10.210007
684812288,-0.38383484,0.5373688,10.286774
694883072,-0.4606018,0.61413574,10.210007
705082368,-0.38383484,0.5373688,10.13324
715153152,-0.61413574,0.5373688,10.363541
725193472,-0.38383484,0.5373688,10.056473
735294720,-0.4606018,0.6909027,10.286774
745365504,-0.4606018,0.5373688,10.210007
755436288,-0.38383484,0.4606018,10.13324
765507328,-0.5373688,0.5373688,10.210007
775578112,-0.38383484,0.5373688,10.210007
785648896,-0.5373688,0.61413574,10.210007
795719680,-0.4606018,0.5373688,10.13324
805760000,-0.4606018,0.4606018,10.286774
815861248,-0.4606018,0.61413574,10.13324
825932032,-0.30706787,0.4606018,10.210007
835972352,-0.38383484,0.5373688,10.210007
846073600,-0.4606018,0.5373688,10.210007
856113920,-0.4606018,0.4606018,10.13324
866215168,-0.4606018,0.4606018,10.286774
876255488,-0.5373688,0.5373688,10.210007
886326272,-0.4606018,0.4606018,10.13324
896427520,-0.38383484,0.61413574,10.210007
906516736,-0.61413574,0.61413574,10.363541
916587776,-0.38383484,0.61413574,10.13324
926658560,-0.4606018,0.38383484,10.056473
936698624,-0.61413574,0.61413574,10.286774
946800128,-0.38383484,0.61413574,10.210007
956870912,-0.4606018,0.61413574,10.13324
966911232,-0.5373688,0.4606018,10.286774
976982016,-0.5373688,0.6909027,10.286774
987052800,-0.4606018,0.61413574,10.210007
997123584,-0.4606018,0.61413574,10.210007
1007194368,-0.61413574,0.4606018,10.286774
1017265152,-0.5373688,0.4606018,10.13324
1027335936,-0.4606018,0.5373688,10.13324
1037406720,-0.4606018,0.61413574,10.286774
1047477504,-0.5373688,0.61413574,10.210007
1057578752,-0.5373688,0.61413574,10.210007
1067619072,-0.5373688,0.61413574,10.286774
1077689856,-0.5373688,0.4606018,10.286774
1087760640,-0.4606018,0.61413574,10.210007
1097831680,-0.4606018,0.5373688,10.286774
1107932928,-0.4606018,0.61413574,10.286774
1117973248,-0.6909027,0.4606018,10.210007
1128074496,-0.4606018,0.61413574,10.286774
1138145280,-0.38383484,0.5373688,10.210007
1148185600,-0.5373688,0.4606018,10.210007
1158286848,-0.38383484,0.4606018,10.210007
1168357632,-0.5373688,0.4606018,10.363541
1178428416,-0.38383484,0.61413574,10.286774
1188499200,-0.4606018,0.61413574,10.210007
1198539520,-0.38383484,0.61413574,10.13324
1208640768,-0.5373688,0.61413574,10.13324
1218711808,-0.4606018,0.5373688,10.210007
1228782592,-0.4606018,0.5373688,10.210007
1238822656,-0.5373688,0.5373688,10.210007
1248924160,-0.5373688,0.61413574,10.210007
1258994944,-0.38383484,0.4606018,10.210007
1269065728,-0.5373688,0.5373688,10.286774
1279136512,-0.38383484,0.5373688,10.286774
1289176832,-0.4606018,0.61413574,10.210007
1299278080,-0.4606018,0.5373688,10.13324
1309355264,-0.5373688,0.5373688,10.210007
1319426048,-0.38383484,0.61413574,10.286774
1329466368,-0.5373688,0.4606018,10.286774
1339537152,-0.4606018,0.4606018,10.13324
1349638400,-0.30706787,0.6909027,10.210007
1359709184,-0.5373688,0.6909027,10.210007
1369779968,-0.4606018,0.61413574,10.286774
1379850752,-0.38383484,0.5373688,10.210007
1389891072,-0.5373688,0.4606018,10.286774
1399992576,-0.5373688,0.5373688,10.13324
1410063360,-0.4606018,0.4606018,10.363541
1420134144,-0.4606018,0.4606018,10.13324
1430174464,-0.5373688,0.61413574,10.13324
1440275712,-0.4606018,0.5373688,10.286774
1450316032,-0.5373688,0.61413574,10.210007
1460417280,-0.5373688,0.5373688,10.210007
1470457600,-0.4606018,0.61413574,10.210007
1480558848,-0.4606018,0.5373688,10.210007
1490629632,-0.5373688,0.30706787,10.13324
1500669952,-0.5373688,0.4606018,10.210007
1510771200,-0.5373688,0.61413574,10.13324
1520841984,-0.4606018,0.61413574,10.13324
1530912768,-0.38383484,0.4606018,10.210007
1540983808,-0.4606018,0.61413574,10.286774
1551054592,-0.4606018,0.61413574,10.363541
1561125376,-0.4606018,0.61413574,10.210007
1571196160,-0.61413574,0.4606018,10.286774
1581266944,-0.5373688,0.5373688,10.286774
1591307264,-0.5373688,0.5373688,10.13324
1601408512,-0.4606018,0.61413574,10.363541
1611448832,-0.5373688,0.5373688,10.13324
1621519616,-0.5373688,0.61413574,10.210007
1631590400,-0.4606018,0.5373688,10.210007
1641691648,-0.38383484,0.5373688,10.13324
1651762432,-0.5373688,0.4606018,10.210007
1661802752,-0.4606018,0.4606018,10.286774
1671904000,-0.5373688,0.61413574,10.286774
1681974784,-0.5373688,0.5373688,10.13324
1692045824,-0.61413574,0.5373688,10.210007
1702116608,-0.61413574,0.61413574,10.210007
1712156672,-0.61413574,0.61413574,10.286774
1722227456,-0.4606018,0.5373688,10.363541
1732298496,-0.4606018,0.5373688,10.210007
1742399744,-0.5373688,0.5373688,10.286774
1752470528,-0.5373688,0.4606018,10.13324
1762541312,-0.4606018,0.5373688,10.13324
1772612096,-0.4606018,0.4606018,10.13324
1782682880,-0.5373688,0.5373688,10.210007
1792753664,-0.38383484,0.4606018,10.210007
1802793984,-0.61413574,0.61413574,10.056473
1812895232,-0.38383484,0.5373688,10.13324
1822935552,-0.4606018,0.4606018,10.13324
1833036800,-0.4606018,0.6909027,10.210007
1843107584,-0.4606018,0.5373688,10.286774
1853147904,-0.5373688,0.38383484,10.286774
1863249408,-0.5373688,0.5373688,10.286774
1873320192,-0.5373688,0.5373688,10.210007
1883360512,-0.4606018,0.5373688,10.210007
1893431296,-0.4606018,0.5373688,10.286774
1903532544,-0.38383484,0.5373688,10.286774
1913603328,-0.38383484,0.5373688,10.210007
1923674112,-0.5373688,0.61413574,10.210007
1933744896,-0.38383484,0.4606018,10.210007
1943785216,-0.38383484,0.5373688,10.286774
1953856000,-0.4606018,0.4606018,10.210007
1963957248,-0.61413574,0.4606018,10.210007
1974028032,-0.6909027,0.5373688,10.6706085
1984098816,-0.30706787,0.5373688,10.056473
1994139136,-0.61413574,0.61413574,10.363541
2004209920,-0.5373688,0.38383484,10.210007
2014280704,-0.5373688,0.07676697,10.210007
2024351488,-0.61413574,-0.4606018,10.363541
2034422528,-0.6909027,-1.3050385,10.6706085
2044493312,-0.30706787,-1.8424072,10.440308
2054564096,0.07676697,-2.53331,10.056473
2064634880,-0.15353394,-2.53331,10.056473
2074736128,-0.30706787,-1.9191742,10.13324
2084776448,-1.0747375,-1.3818054,10.286774
2094877696,-1.6121063,0.15353394,10.286774
2104948480,-1.9959412,0.38383484,9.979706
2115092992,-1.5353394,0.38383484,10.363541
2125133312,-1.3818054,0.30706787,10.440308
2135204096,-0.9212036,0.38383484,10.056473
2145274880,-0.4606018,0.30706787,10.286774
2155376384,-0.2303009,0.61413574,10.210007
2165447168,-0.30706787,0.84443665,10.363541
2175517952,-0.5373688,0.5373688,10.210007
2185588736,-0.38383484,0,10.210007
2195659520,-0.5373688,-0.30706787,10.13324
2205699840,-0.38383484,-0.38383484,10.286774
2215801088,-0.5373688,-0.38383484,10.056473
2225841408,-0.84443665,-0.2303009,10.056473
2235942656,-0.84443665,0,9.979706
2246013440,-0.9979706,-0.07676697,10.210007
2256084224,-1.0747375,-0.07676697,10.363541
2266155008,-0.6909027,-0.30706787,10.286774
2276225792,-0.4606018,-0.6909027,10.286774
2286296576,-0.2303009,-1.3050385,10.440308
2296367616,0,-1.6888733,10.363541
2306438400,0.4606018,-2.303009,10.210007
2316478464,0.4606018,-2.6868439,9.749404999999999
2326579968,0.4606018,-2.53331,8.597899999999999
2336650752,-0.07676697,-2.226242,9.826172
2346721536,-0.38383484,-0.84443665,7.369629
2356761856,-0.5373688,-0.9979706,9.135268999999999
2366863104,-0.7676697,-0.6909027,11.207977
2376933888,-0.61413574,-0.38383484,10.6706085
2387004672,-0.5373688,0.61413574,10.363541
2397075456,-0.61413574,0.6909027,10.286774
2407146240,-0.61413574,0.9979706,10.056473
2417217024,-0.5373688,1.1515045,10.363541
2427287808,-0.4606018,1.3818054,10.210007
2437358592,-0.38383484,1.3050385,10.13324
2447429632,-0.30706787,1.0747375,9.979706
2457500416,-0.2303009,1.0747375,9.672637999999999
2467540480,-0.38383484,0.9979706,9.672637999999999
2477641984,-0.38383484,0.6909027,10.593842
2487712768,-0.38383484,0.61413574,10.977676
2497783552,-0.2303009,0.61413574,10.517075
2507854336,-0.4606018,0.30706787,8.904968
2517925120,-0.30706787,0.30706787,8.060532
2527995904,-0.30706787,0.2303009,8.137299000000001
2538066688,-0.4606018,0.15353394,6.601959
2548137472,-0.38383484,-0.2303009,5.9110565
2558177792,-0.2303009,-0.2303009,4.989853
2568279040,-0.4606018,-0.6909027,4.913086
2578349824,-0.2303009,-0.7676697,1.0747375
2588420608,-0.38383484,-1.1515045,0.38383484
2598491648,-0.30706787,-1.1515045,0.38383484
2608562432,-0.15353394,-1.1515045,0.30706787
2618633216,-0.30706787,-1.3050385,0.38383484
2628673536,-0.30706787,-1.3050385,0.4606018
2638744320,-0.15353394,-1.1515045,0.30706787
2648845568,-0.2303009,-1.3050385,0.30706787
2658916352,-0.15353394,-1.1515045,0.4606018
2668987136,-0.2303009,-0.9979706,0.30706787
2679057920,-0.38383484,-1.0747375,0.38383484
