TS,X,Y,Z
80566528,0.30706787,5.143387,8.751434
90637312,-0.07676697,5.296921,8.751434
100717568,-0.07676697,5.296921,8.904968
110757888,0,5.220154,8.828201
120859136,0,5.143387,8.828201
130929920,-0.07676697,5.296921,8.904968
140970240,-0.07676697,5.296921,8.904968
151071488,0,5.296921,8.828201
161142272,0,5.220154,8.828201
171213056,0.15353394,5.4504547,8.521133000000001
181283840,0.38383484,5.4504547,8.2908325
191324160,0.30706787,5.296921,8.214066000000001
201394944,0.15353394,5.3736877,8.367599500000001
211465728,0,5.220154,8.904968
221536512,-0.07676697,5.3736877,9.36557
231638016,-0.15353394,5.4504547,9.288803
241708800,0,5.3736877,9.212035999999999
251779584,0,5.3736877,8.828201
261819904,0.2303009,5.3736877,8.597899999999999
271921152,0.07676697,5.220154,8.674666999999999
281961472,-0.07676697,5.4504547,8.904968
292062720,-0.07676697,5.4504547,8.521133000000001
302121472,-0.15353394,5.4504547,8.521133000000001
312192256,-0.15353394,5.6807556,8.444366
322263040,-0.07676697,5.4504547,8.444366
332333824,0,5.296921,8.214066000000001
342435072,0.07676697,5.296921,8.2908325
352506112,0,5.296921,8.2908325
362546176,0.2303009,5.06662,8.597899999999999
372616960,0.38383484,4.913086,8.981735
382688000,0.4606018,4.759552,9.135268999999999
392758784,0.6909027,4.682785,9.212035999999999
402829568,0.6909027,4.836319,9.135268999999999
412930816,0.84443665,4.759552,9.135268999999999
423001600,0.38383484,4.913086,8.981735
433072384,0.38383484,4.913086,8.904968
443112704,0.07676697,5.296921,8.597899999999999
453213952,0.2303009,5.06662,8.521133000000001
463254272,0.15353394,5.143387,8.828201
473325056,0,5.143387,8.981735
483426304,0.07676697,5.06662,9.135268999999999
493497088,0.30706787,4.836319,9.288803
503537408,0.30706787,4.913086,9.212035999999999
513638912,0.4606018,4.836319,9.212035999999999
523678976,0.4606018,4.759552,9.212035999999999
533780480,0.5373688,5.06662,9.135268999999999
543851264,0.38383484,5.06662,8.981735
553922048,0.5373688,4.913086,8.828201
563962368,0.4606018,4.836319,8.674666999999999
574033152,0.5373688,4.836319,8.751434
584134400,0.15353394,4.836319,8.828201
594205184,0.38383484,4.836319,8.981735
604275968,0.38383484,4.606018,9.058502000000001
614316288,0.38383484,4.606018,9.519104
624387072,0.38383484,4.606018,9.519104
634488320,0.5373688,4.606018,9.519104
644528640,0.38383484,4.606018,9.595871000000001
654630144,0.38383484,4.759552,9.442337
664670208,0.38383484,4.682785,9.36557
674771712,0.61413574,4.836319,9.288803
684842496,0.61413574,4.759552,8.981735
694882816,0.5373688,4.606018,9.212035999999999
704990464,0.5373688,4.836319,9.212035999999999
715030784,0.38383484,4.836319,9.288803
725132032,0.38383484,4.759552,9.595871000000001
735172352,0.38383484,4.836319,9.519104
745273600,0.38383484,4.682785,9.672637999999999
755313920,0.4606018,4.682785,9.442337
765415168,0.5373688,4.682785,9.212035999999999
775485952,0.4606018,4.836319,8.981735
785526272,0.38383484,4.989853,8.981735
795627520,0.38383484,4.759552,8.828201
805698304,0.38383484,4.836319,8.828201
815769344,0.38383484,4.682785,8.904968
825840128,0.30706787,4.682785,8.904968
835910912,0.38383484,4.836319,8.904968
845981696,0.38383484,4.836319,9.135268999999999
856052480,0.38383484,4.913086,9.36557
866123264,0.4606018,4.836319,9.442337
