TS,X,Y,Z
1178278400,-0.6909027,5.06662,9.058502000000001
1188349440,-0.61413574,5.06662,9.058502000000001
1198420224,-0.5373688,4.989853,8.981735
1208491008,-0.5373688,5.143387,9.36557
1218561792,-0.2303009,4.989853,9.826172
1228632576,-0.07676697,4.836319,10.056473
1238703360,0,4.913086,9.826172
1248774144,0.30706787,4.529251,9.826172
1258844928,0.7676697,2.9939117,8.981735
1268915712,-0.07676697,4.452484,6.2948914
1278986496,-0.5373688,5.9878235,9.058502000000001
1289057280,-0.9212036,6.755493,12.359482
1299128064,1.6121063,6.5251923,12.589783
1309198848,3.3009796,5.3736877,12.282715
1319269632,5.6039886,3.9918823,11.284744
1329371136,7.369629,1.9959412,10.593842
1339441920,9.826172,-0.6909027,7.59993
1349512704,9.058502000000001,-0.2303009,8.444366
1359583488,6.83226,1.1515045,10.900909
1369654272,7.216095,2.149475,11.361511
1379694592,9.288803,-0.9979706,11.668579
1389765376,10.824142,-7.7534637,12.896851
1399866624,10.056473,-8.444366,19.345276
1409919744,6.678726,-0.7676697,19.038208
1420020992,3.8383484,-2.456543,9.519104
1430091776,4.222183,-2.7636108,11.515045
1440162560,6.5251923,-4.222183,15.660461
1450202880,8.444366,-4.989853,19.268509
1460304128,10.593842,-6.1413574,20.343246
1470374912,10.977676,-5.3736877,20.727081
1480415232,12.359482,-2.456543,14.739258
1490516480,6.601959,-2.0727081,22.26242
1500587520,9.058502000000001,-2.610077,17.73317
1510658304,11.745346,-4.29895,22.185654
1520729088,10.6706085,-4.0686493,25.409866
1530769408,5.7575226,-3.3777466,24.02806
1540870656,-0.07676697,-1.0747375,21.955353
1550941440,0.15353394,-0.4606018,21.417984
1561012224,0.84443665,0,21.26445
1571083008,1.9959412,2.149475,19.805878
1581153792,3.9151154,7.216095,17.73317
1591224576,4.222183,8.981735,18.577606
1601264896,2.6868439,11.054443,18.040237
1611335680,1.0747375,13.280685,16.504898
1621436928,2.149475,18.424072,11.207977
1631507712,7.139328,20.189713,5.6039886
1641578496,15.046326,20.112946,1.4585724
1651649536,21.878586,16.888733,-1.6121063
1661689600,31.013855,11.591812,-4.529251
1671760384,34.852203,8.137299000000001,-7.292862
1681861888,36.848145,3.6848145,-10.286774
1691932672,35.92694,-2.53331,-13.434219
1702003456,26.177536,-22.646255,-13.510986
1712074240,21.03415,-36.69461,-7.369629
1722114560,14.585724,-39.22792,1.3050385
1732185344,10.440308,-39.22792,10.286774
1742256128,6.985794,-39.22792,17.579636
1752357376,4.913086,-39.22792,17.656403
1762428160,2.0727081,-39.22792,17.426102
1772498944,-1.6121063,-39.22792,17.809937
1782569728,-12.052414,-39.22792,23.720993
1792640512,-15.583694,-39.22792,26.791672
1802711552,-17.502869,-39.22792,30.246185
1812782336,-19.038208,-39.22792,35.92694
1822853120,-22.79979,-39.22792,39.22792
1832893440,-29.785583,-39.22792,39.22792
1842994688,-34.69867,-39.22792,39.22792
1853065472,-31.090622,-39.22792,39.22792
1863136256,3.7615814,-39.22792,39.22792
1873207040,29.324982,-39.22792,39.22792
1883247360,21.571518,-39.22792,39.22792
1893348608,11.591812,-39.22792,39.22792
1903419392,-10.900909,-39.22792,30.860321
1913490176,-19.345276,-39.22792,4.759552
1923560960,-24.488663,-31.013855,-4.1454163
1933631744,-22.03212,-32.856262,-2.9171448
1943672064,-15.660461,-33.009796,-3.5312805
1953742848,-12.743317,-31.551224,-2.9939117
1963844352,-10.286774,-29.555283,-2.8403778
1973915136,-9.212035999999999,-28.019943,-6.0645905
1983985920,-39.22792,-39.22792,-39.22792
1994056704,-26.33107,-37.99965,-39.22792
2004127488,-1.0747375,5.6039886,-39.22792
2014198272,3.3777466,6.3716583,-39.22792
2024269056,-0.5373688,-16.735199,-35.46634
2034309376,-0.38383484,-11.975647,-18.961441
2044410624,-0.61413574,-8.904968,-10.824142
2054481408,-0.15353394,-7.139328,-4.913086
2064521728,-0.38383484,-4.759552,1.5353394
2074622976,-0.30706787,-4.0686493,2.379776
2084693760,0,-3.6848145,2.149475
2094734080,0.07676697,-3.6848145,1.9191742
2104835328,-0.15353394,-3.3009796,2.456543
2114906368,-0.15353394,-3.1474457,2.9171448
2124946432,-0.07676697,-3.5312805,3.1474457
2135047936,0.15353394,-3.9151154,3.2242126
2145118720,1.6121063,-6.5251923,3.6080475
2155189504,3.2242126,-8.2908325,3.3777466
2165260288,4.759552,-10.286774,2.6868439
2175300608,5.9878235,-11.668579,1.9191742
2185371392,6.0645905,-12.205948,1.9959412
